                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2618,                 5.5073,                 4.8601,                0.00032,                0.01775,                0.00017,                  4e-05,                 3.2492,                 4.4649,                 4.1593,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                 3.3993,                 5.4245,                 4.7384,                0.00037,                0.01893,                 0.0002,                  4e-05,                 3.2492,                 4.4657,                 4.1598,             0.00013637,             0.00013637,             0.00013637
                      3,                 3.3107,                   5.04,                 4.4509,                0.00032,                0.01775,                0.00019,                  6e-05,                 3.2476,                 4.4694,                 4.1597,             0.00020899,             0.00020899,             0.00020899
                      4,                 3.2502,                 4.7867,                 4.3453,                0.00032,                0.01775,                0.00018,                  5e-05,                 3.2473,                 4.4806,                 4.1613,             0.00028038,             0.00028038,             0.00028038
                      5,                 3.2042,                 4.5037,                 4.2174,                0.00033,                0.01775,                 0.0002,                  6e-05,                 3.2477,                 4.4951,                 4.1641,             0.00035054,             0.00035054,             0.00035054
                      6,                 3.2582,                 4.4604,                 4.0935,                0.00037,                0.01893,                0.00025,                  6e-05,                 3.2483,                 4.5158,                 4.1704,             0.00041945,             0.00041945,             0.00041945
                      7,                 2.8767,                 4.1182,                 3.9103,                0.00043,                0.02011,                0.00027,                  7e-05,                 3.2504,                 4.5476,                  4.182,             0.00048713,             0.00048713,             0.00048713
                      8,                 2.9573,                    3.9,                 3.7132,                0.00038,                0.01893,                0.00027,                  7e-05,                 3.2543,                   4.58,                 4.1992,             0.00055357,             0.00055357,             0.00055357
                      9,                  2.836,                 3.9489,                 3.6284,                0.00043,                0.02011,                0.00029,                  6e-05,                 3.2593,                  4.566,                 4.2182,             0.00061878,             0.00061878,             0.00061878
                     10,                 2.5743,                  3.753,                 3.4534,                0.00042,                0.02011,                0.00037,                 0.0001,                 3.2581,                 4.6622,                 4.2366,             0.00068274,             0.00068274,             0.00068274
                     11,                 2.7064,                 3.8416,                  3.389,                0.00049,                0.01893,                0.00033,                  8e-05,                 3.2605,                 4.6914,                 4.2523,             0.00074547,             0.00074547,             0.00074547
                     12,                 2.4726,                 3.5342,                 3.1648,                0.00031,                0.01534,                0.00016,                  4e-05,                  3.262,                 4.7016,                 4.2653,             0.00080696,             0.00080696,             0.00080696
